MSOA_code,number_measured,number_obese,obesity_rate,overcrowded_percent,lone_parent_percent,long_commute_percent,social_housing_percent,unemployment_rate,inactive_rate,nonwhite_percent,higher_education_percent,average_household_size,percent_age_10_11
E02000068,286.0,83.0,29.02097902097902,12.519561815336465,21.83296840788239,41.92118226600986,29.49279899812148,8.430675469781615,25.57485322896282,47.01565557729941,33.720351633770115,2.553224796493425,3.4250764525993884
E02000069,182.0,62.0,34.065934065934066,7.104795737122557,14.24511545293073,37.998875772906125,14.4076840981857,5.749318801089919,27.77700734988213,38.70252287219296,34.04405286343612,2.552275960170697,2.620995701012342
E02000070,233.0,52.0,22.317596566523605,4.777070063694268,11.14294810569882,36.33524206142634,8.05732484076433,5.0576970292167935,30.579531442663377,27.675049309664697,28.998778998779,2.582165605095541,2.381539980256663
E02000071,289.0,72.0,24.91349480968858,5.830388692579505,16.22002820874471,33.623503808487484,14.426807760141095,6.8252326783867625,27.597444922435145,25.78206465067779,26.03609625668449,2.701834862385321,3.0618892508143323
E02000072,459.0,106.0,23.093681917211327,12.57995735607676,21.2108292474952,43.97843019772319,34.40699658703072,8.161660638465168,24.2283592480854,45.75628626692457,35.975545483292926,2.751599147121535,3.3921933085501856
E02000073,402.0,93.0,23.134328358208958,3.535353535353535,8.9737108190091,38.86030866640285,4.121365360303413,5.029322907410698,28.68065268065268,27.53379953379953,29.721966911764707,2.708364922921405,2.375850181682661
E02000074,273.0,77.0,28.205128205128204,9.428571428571429,18.692922374429223,36.30348478164976,36.83609366076528,7.860063607451158,27.7834179357022,30.274297324754485,27.649030753534472,2.52309007981756,2.991645969744863
E02000075,231.0,44.0,19.047619047619047,2.2222222222222223,9.368053350269928,35.684647302904565,5.716100349317244,4.544300583904545,33.40428195818205,20.69397469622949,28.761731759006963,2.535873015873016,2.2772772772772774
E02000077,296.0,68.0,22.972972972972972,5.442176870748299,12.210884353741497,39.029426948890034,10.381211708645337,5.97943075819182,29.357572779756783,30.2125568251628,30.2130898021309,2.746934604904632,2.466560314148975
E02000078,248.0,54.0,21.774193548387096,3.47682119205298,10.033112582781458,38.33605220228385,5.360688285903375,4.553160571566965,28.55161981595865,19.21815889029004,29.38047559449312,2.6064922159655515,2.3320307575948567
E02000079,197.0,25.0,12.690355329949238,4.463040446304045,11.87621968218567,40.847983453981385,5.716675962074735,5.205116894574327,29.224629418472063,23.742730071843997,34.09411101718794,2.3935340022296545,2.4726526891522336
E02000080,304.0,78.0,25.657894736842103,5.118110236220472,11.891042430591932,39.03603994789405,6.317169069462647,5.300420972062763,28.439455647164003,30.89842973563904,31.548355181795696,2.6367924528301887,2.602821378899265
E02000081,223.0,61.0,27.3542600896861,4.420731707317073,11.832875876791704,38.96739130434783,14.181152790484903,4.8007918831972285,31.022029613578912,21.51197785000602,29.847362853256765,2.5125076266015864,2.5048169556840074
E02000082,280.0,62.0,22.142857142857142,3.918722786647314,10.005800464037124,37.82474680757375,2.324230098779779,4.2423046566692975,25.594345684300706,23.05549603599743,29.19796137339056,2.7098460644786524,2.873686467939095
E02000083,326.0,60.0,18.404907975460123,5.968468468468469,14.195725534308211,40.34212401995723,18.012143017764785,5.80364609466466,25.76981098589049,23.054397018368977,30.687830687830687,2.5338430402518552,2.8487752928647496
E02000084,263.0,41.0,15.5893536121673,2.976190476190476,9.437559580552907,36.22013651877133,4.310550130983567,4.442901770218674,28.512322360136714,22.540282653704207,33.07942197826817,2.6470728224654927,2.867931313494561
E02000085,198.0,39.0,19.696969696969692,4.390243902439024,11.530944625407166,35.245046923879045,4.006514657980456,4.281636536631779,27.327553712777984,16.323455549974884,25.356527190095598,2.586644951140065,2.665660756947064
E02000086,215.0,44.0,20.46511627906977,2.3297491039426523,9.5443128812343,33.4984520123839,1.6140602582496413,3.469442220443021,29.31995540691193,12.841225626740943,27.790121346778328,2.572094691535151,2.648452746027321
E02000087,223.0,32.0,14.349775784753364,2.2590361445783134,8.127633955448525,41.26597687157639,5.001506477854775,4.550898203592815,31.03070175438597,16.640272871238885,36.59625111573936,2.4697380307136405,2.423283000487092
E02000088,115.0,24.0,20.869565217391305,2.684563758389262,9.798657718120806,37.71213073538655,3.857765850385777,3.500496524329692,28.964004644561992,13.472706155632984,29.78316326530612,2.601945003353454,2.4522457408363447
E02000089,261.0,47.0,18.007662835249043,1.8900343642611683,9.463179628355126,37.47657713928795,5.370051635111876,4.63222193942479,30.78780177890724,13.127462193417209,30.505273099323155,2.664371772805508,2.4812317088688127
E02000090,152.0,24.0,15.789473684210526,4.410011918951132,10.412199189897546,39.36015511391177,9.992845218220843,5.693168198162205,32.20251063388318,14.896265560165975,34.98150431565968,2.204339532665713,2.0126569146176987
E02000091,221.0,46.0,20.81447963800905,3.262092238470191,9.59334980903168,36.27069133398248,14.729030807285811,5.376344086021505,33.37924249877029,17.355371900826448,34.4106463878327,2.2674758372668014,2.3230632936312627
E02000092,202.0,57.0,28.217821782178216,6.998158379373849,18.268876611418047,37.17521652231846,32.16654384672071,7.272149888853605,31.769059955588453,20.909225529394345,26.960136028717173,2.469786293294031,2.898979440911108
E02006785,202.0,49.0,24.257425742574256,6.213592233009709,11.956521739130435,41.16161616161616,14.957264957264956,6.694190504276025,30.31537649011619,30.318586743167742,29.336545589325425,2.5707070707070705,2.324177482644129
E02000093,304.0,63.0,20.723684210526315,14.97326203208556,11.717495987158909,39.796633941093965,10.344827586206897,6.646902792947418,28.42229331537296,65.17052631578947,37.3607277931105,3.14457509353287,2.239057239057239
E02000094,280.0,66.0,23.57142857142857,15.584415584415584,13.585232189212576,35.78093306288033,15.051903114186851,7.494102703683541,28.19433817903596,62.4282982791587,39.78024574669188,2.980392156862745,2.5339453050296425
E02000095,280.0,65.0,23.214285714285715,17.582417582417584,11.149497487437186,38.49840255591055,11.341501727929623,7.054545454545455,29.583253679984704,66.42440470498231,38.28252269024901,3.257537688442211,2.30291447682752
E02000096,178.0,33.0,18.53932584269663,8.799999999999999,7.451923076923077,41.77831912302071,4.323458767013611,5.303810504634397,31.32451198742303,68.66727820731228,49.01960784313725,3.017213771016813,2.2774869109947646
E02000097,296.0,68.0,22.972972972972972,14.802631578947366,11.952584787619362,30.577777777777776,10.20408163265306,6.740196078431373,30.05137884030617,59.30549727234579,35.43063434760186,3.1162714097496704,2.2989712366155786
E02000098,260.0,65.0,25.0,14.26086956521739,15.598885793871869,37.97260273972603,22.36521739130435,7.503573130061934,33.83278051012238,67.26129216695254,42.12218649517685,2.9822608695652173,2.309363210243512
E02000099,296.0,70.0,23.64864864864865,21.269296740994854,13.104631217838769,42.399658411614006,13.712718546451836,6.397774687065369,26.24973854842083,63.27896277708072,40.88317199310436,3.2173465889612616,2.458416152317188
