MSOA,average_household_size
E02000613,2.4857589984350548
E02000614,2.7507409602845287
E02000615,2.6640730717185384
E02000616,2.537400752193899
E02000617,2.6339712918660285
E02000619,2.2239763196842626
E02000620,2.1133144475920678
E02000621,1.989513981358189
E02000622,2.280088129991738
E02000623,2.3455418793155207
E02000624,2.2149882903981264
E02000625,2.435755660874144
E02000626,2.4030153667729777
E02000627,2.37413749041656
E02000628,2.3610615521855487
E02000629,2.2670652715495763
E02000630,2.1793002915451893
E02000631,2.4970588235294118
E02000632,2.2396151138230462
E02000633,2.2962121212121214
E02000634,2.1596909207984547
E02000635,2.2440036900369003
E02000636,2.4951298701298703
E02000637,2.263285675748584
E02000638,2.323343079922027
E02000639,2.2310789049919486
E02000640,2.444707118465984
E02000641,2.511202830188679
E02000642,2.349712368168744
E02000643,2.357142857142857
E02000644,2.4334763948497855
E02000645,2.3460113608298347
E02000646,2.3954918032786887
E02000647,2.4649327878433667
E02000648,2.4328732747804267
E02000649,2.3090120663650073
E02000650,2.336893500152579
E02000651,2.471974705375108
E02000652,2.94811320754717
E02000653,2.367088607594937
E02000654,2.442313038643314
E02000655,2.489021956087824
E02000657,2.343859649122807
E02000658,2.4586466165413534
E02000659,2.2576271186440677
E02000660,2.2338418862690705
E02000661,2.1235622740716398
E02000662,2.5095252494708196
E02000663,2.3969492727917703
E02000665,2.3725834797891037
E02000666,2.5945155393053017
E02000667,2.639968279143537
E02000668,2.513950073421439
E02000669,2.3585476550680786
E02000670,2.3981315127560188
E02000671,2.373709940249864
E02000672,2.380509888015249
E02000673,2.3263729977116703
E02000674,2.695453058554138
E02000675,2.4713617767387492
E02000676,2.4362268881228455
E02000677,2.6648996592199925
E02000678,2.657481821660926
E02000679,2.3985185185185185
E02000680,2.3924398625429553
E02000681,2.525216353327365
E02000682,2.762274704785581
E02000683,2.476312890194638
E02000685,2.3540753724802803
E02000686,2.47192118226601
E02000687,2.3600347021399655
E02000689,2.576594533029613
E02000690,2.4359550561797754
E02000691,2.452638700947226
E02000692,2.127486690949846
E02000693,2.262494161606726
E02000694,2.368544600938967
E02000695,2.921401837359646
E02000696,2.6291653928462244
E02000697,2.3772504091653026
E02000698,2.566939032055311
E02000699,2.5182459368291936
E02000700,2.5725350014894253
E02000701,2.881824020552344
E02000702,2.7612826603325415
E02000703,2.7049012933968686
E02000704,2.3815789473684212
E02000705,2.951845906902087
E02000706,2.827157001414427
E02000707,2.974442044636429
E02000708,2.7154271665642287
E02000709,2.7781260884709162
E02000710,2.607215594995636
E02000711,2.719491035280509
E02000712,2.8244274809160306
E02000713,2.733050847457627
E02000714,2.891912320483749
E02000715,3.4431166347992352
E02000716,3.1177237185056472
E02000717,3.4332220367278796
E02000718,3.273496659242762
E02000719,2.772869565217391
E02000720,3.4201601507300987
E02000721,3.3845875542691752
E02000722,2.7264665757162345
E02000723,3.814814814814815
E02000724,3.840568271507498
E02000725,2.47625
E02000727,3.643231441048035
E02000728,3.5995726495726497
E02000729,3.2074443940081707
E02000730,3.7365549493374903
E02000731,3.5351858534824974
E02000732,3.213221939702143
E02000733,2.900606761051719
E02000734,2.9198075380914195
E02000735,3.185408048138398
E02000736,3.4312099509988694
E02000737,3.35507010107597
E02000738,3.3916636722960836
E02000739,3.100847115772489
E02000740,2.710284113645458
E02000741,3.0565055762081785
E02000742,3.3840981012658227
E02000743,2.819172722191168
E02000744,2.743389423076923
E02000745,2.9599860821155186
E02000746,2.631377174874668
E02000747,2.3972829080227647
E02000748,2.750565866908103
E02000749,2.82972972972973
E02000751,2.4903109508787744
E02000752,2.6814565483476134
E02000753,2.762753036437247
E02000754,2.6123552123552125
E02000755,2.5022872827081426
E02000756,2.7683089214380825
E02000757,2.381035148706064
E02000758,2.956409149762624
E02000759,2.699315210624611
E02000760,2.842405786067758
E02000762,3.1202471482889735
E02000763,3.0908385093167703
E02000764,2.2631382780469624
E02000765,3.090721649484536
E02000767,3.054552023121387
E02000768,2.626818181818182
E02000770,3.225793491361993
E02000772,3.2233162662465538
E02000773,3.3968508997429305
E02000774,3.2597560975609756
E02000776,3.3208453410182517
E02000777,2.5705679862306368
E02000779,2.9592499098449334
E02000781,3.5462962962962963
E02000782,3.1585127201565557
E02000783,3.4638297872340424
E02000784,2.3955938697318007
E02000785,2.3126801152737753
E02000786,2.2967233009708736
E02000787,2.335202010438817
E02000788,2.5044150110375276
E02000789,2.1945224719101124
E02000790,2.4352810650887573
E02000791,2.156955203772314
