MSOA,social_housing_percent
E02000384,39.00709219858156
E02000385,17.315106905012268
E02000386,45.72192513368984
E02000387,41.57955865272939
E02000388,27.72804258407936
E02000389,14.491571506253397
E02000390,23.832291283560135
E02000391,23.299786520280573
E02000392,25.105224065362712
E02000393,11.828372632392734
E02000394,27.40450989415554
E02000395,11.771385314155943
E02000396,27.591188154568435
E02000397,24.697754749568222
E02000398,42.688433483848556
E02000400,29.500320307495198
E02000401,43.924101735970936
E02000402,45.50700741962078
E02000403,15.446339017051153
E02000404,30.206378986866795
E02000405,7.595450852965069
E02000406,34.734001542020046
E02000407,30.372588157019294
E02000408,40.03333333333333
E02000409,43.2192648922687
E02000410,7.1537872991583775
E02000411,30.592105263157894
E02000412,34.66898954703833
E02000413,15.475387727579232
E02000414,16.52557968347442
E02000415,15.726375176304655
E02000416,30.594539423322274
E02000417,8.55148342059337
E02000418,11.005434782608695
E02000419,13.607681755829903
E02000420,31.391962725684337
E02000421,39.85991722381407
E02000422,29.02667128507101
E02000423,16.16766467065868
E02000424,25.511230305062014
E02000425,19.537037037037035
E02000426,16.163087004004367
E02000427,12.517433751743376
E02000428,38.15068493150685
E02000429,12.83572767020612
E02000430,12.865497076023392
E02000431,6.886858749121575
E02000432,25.214285714285715
E02000433,11.575381140598532
E02000434,8.521165475536009
E02000435,19.25952296190815
E02000436,3.4263338228095934
E02000437,10.94559585492228
E02000438,20.551543007222588
E02000439,10.312075983717776
E02000440,3.240589198036006
E02000441,17.924865831842578
E02000442,4.161979752530934
E02000443,15.369430344049634
E02000444,2.7340823970037453
E02000445,13.717277486910994
E02000447,7.325072886297376
E02000448,7.683943457774555
E02000449,16.818361693707953
E02000451,1.8892228424216402
E02000452,6.5778035352071855
E02000453,7.419566644780039
E02000454,4.001584786053883
E02000455,13.366960907944513
E02000456,10.051546391752577
E02000457,7.4131876706984
E02000459,17.34932709186659
E02000460,27.28778467908903
E02000461,5.396949550254204
E02000462,7.964989059080962
E02000463,18.278052223006352
E02000464,27.810650887573964
E02000465,32.91356611333715
E02000466,23.079259034315214
E02000467,47.563534623455354
E02000468,11.556678244395327
E02000469,30.196369025565023
E02000470,7.792836398838335
E02000471,1.9707781175671082
E02000472,6.861355259427275
E02000473,6.1412232720039786
E02000474,14.613423959218352
E02000475,10.409297625063163
E02000476,17.913292043830396
E02000477,2.6655896607431337
E02000478,5.3023255813953485
E02000479,12.14040643969385
E02000480,18.9146049481245
E02000481,7.362908194701171
E02000482,1.9014357780364766
E02000483,13.532968615030233
E02000484,5.963725791577006
E02000485,5.725853094274147
E02000486,3.3444816053511706
E02000487,1.3247282608695652
E02000488,2.886529528865295
E02000489,14.969325153374232
E02000490,13.263092655717385
E02000491,23.81073518188756
E02000492,4.876190476190477
E02000493,14.096916299559473
E02000494,13.233923578751163
E02000495,13.266728624535315
E02000496,20.056675062972293
E02000497,18.944519621109606
E02000498,16.07887751232461
E02000499,5.673523556735235
E02000500,5.898366606170599
E02000501,7.299938912645082
E02000502,5.461233729485003
E02000503,3.4715821812596004
E02000504,3.8329911019849416
E02000506,6.036564332528458
E02000507,9.40754039497307
E02000508,16.889400921658986
E02000509,23.897707231040563
E02000510,12.576687116564417
E02000511,8.185162477007971
E02000512,25.885383129426913
E02000513,28.8855421686747
E02000514,7.452830188679245
E02000515,21.403180542563145
E02000516,19.056068133427964
E02000517,25.03012048192771
E02000518,30.96096096096096
E02000519,33.69708994708995
E02000520,21.144781144781145
E02000521,26.5625
E02000522,24.842406876790832
E02000523,11.267988053217486
E02000524,13.717317165593027
E02000525,16.184448462929478
E02000526,11.252419131877247
E02000529,18.274613105037865
E02000530,42.368839427662955
E02000531,21.454619124797407
E02000532,20.136161298769313
E02000533,17.430197885605857
E02000534,6.664445184938354
E02000535,13.572854291417165
E02000536,16.112138016019717
E02000537,2.7232425585813806
E02000538,14.946737683089214
E02000539,22.904792062486806
E02000540,20.481390684198796
E02000541,29.015544041450774
E02000542,24.03846153846154
E02000543,13.240702901512055
E02000544,4.858022579541567
E02000545,33.25817361894025
E02000546,15.394361735825152
E02000547,23.883696780893043
E02000548,33.19914117015566
