MSOA,number_measured,number_obese,obesity_rate
E02000292,300.0,71.0,23.666666666666668
E02000293,159.0,22.0,13.836477987421384
E02000294,377.0,95.0,25.198938992042443
E02000295,235.0,44.0,18.72340425531915
E02000296,311.0,57.0,18.327974276527332
E02000297,224.0,39.0,17.410714285714285
E02000298,164.0,24.0,14.634146341463413
E02000299,418.0,103.0,24.641148325358852
E02000300,303.0,75.0,24.752475247524753
E02000301,443.0,122.0,27.539503386004515
E02000302,207.0,54.0,26.08695652173913
E02000303,376.0,107.0,28.45744680851064
E02000304,200.0,33.0,16.5
E02000305,199.0,33.0,16.582914572864322
E02000306,408.0,129.0,31.61764705882353
E02000307,364.0,94.0,25.82417582417583
E02000308,222.0,48.0,21.62162162162162
E02000309,407.0,104.0,25.552825552825553
E02000311,307.0,85.0,27.68729641693811
E02000312,221.0,47.0,21.266968325791854
E02006793,337.0,112.0,33.23442136498516
E02000313,264.0,71.0,26.89393939393939
E02000314,563.0,168.0,29.84014209591474
E02000315,408.0,118.0,28.921568627450984
E02000316,287.0,64.0,22.299651567944252
E02000317,322.0,83.0,25.77639751552795
E02000318,334.0,81.0,24.251497005988025
E02000319,309.0,75.0,24.271844660194176
E02000320,242.0,69.0,28.512396694214875
E02000321,250.0,63.0,25.2
E02000323,388.0,103.0,26.54639175257732
E02000324,252.0,74.0,29.365079365079367
E02000326,168.0,37.0,22.023809523809522
E02000327,256.0,68.0,26.5625
E02000328,109.0,21.0,19.26605504587156
E02000329,191.0,46.0,24.083769633507853
E02000331,228.0,57.0,25.0
E02000332,206.0,44.0,21.35922330097087
E02000333,69.0,18.0,26.08695652173913
E02000334,199.0,46.0,23.115577889447238
E02000335,188.0,33.0,17.5531914893617
E02000337,253.0,58.0,22.92490118577075
E02000339,167.0,24.0,14.37125748502994
E02000340,118.0,26.0,22.033898305084744
E02000341,296.0,79.0,26.68918918918919
E02000342,154.0,40.0,25.97402597402597
E02000343,190.0,38.0,20.0
E02000344,176.0,42.0,23.863636363636363
E02006786,259.0,69.0,26.640926640926644
E02006927,256.0,62.0,24.21875
E02006928,141.0,34.0,24.113475177304963
E02006929,150.0,33.0,22.0
E02006930,165.0,31.0,18.787878787878785
E02006931,204.0,53.0,25.98039215686275
E02000345,115.0,26.0,22.608695652173914
E02000346,196.0,69.0,35.204081632653065
E02000347,102.0,23.0,22.54901960784314
E02000348,166.0,47.0,28.313253012048197
E02000350,186.0,38.0,20.43010752688172
E02000351,147.0,39.0,26.53061224489796
E02000352,145.0,33.0,22.758620689655174
E02000353,188.0,38.0,20.212765957446805
E02000354,291.0,75.0,25.773195876288657
E02000355,206.0,35.0,16.990291262135923
E02000356,205.0,24.0,11.707317073170733
E02000357,278.0,78.0,28.05755395683453
E02000358,265.0,73.0,27.547169811320753
E02000359,217.0,48.0,22.119815668202765
E02000360,379.0,108.0,28.49604221635884
E02000361,165.0,46.0,27.878787878787882
E02000362,214.0,65.0,30.373831775700932
E02000363,485.0,129.0,26.5979381443299
E02000364,271.0,54.0,19.92619926199262
E02000365,185.0,48.0,25.945945945945947
E02000366,239.0,64.0,26.778242677824267
E02000367,242.0,69.0,28.512396694214875
E02000368,317.0,83.0,26.18296529968454
E02000369,290.0,93.0,32.068965517241374
E02000370,229.0,55.0,24.017467248908297
E02000371,238.0,76.0,31.932773109243694
E02006918,315.0,80.0,25.396825396825395
E02006921,203.0,56.0,27.586206896551722
E02000372,293.0,64.0,21.843003412969285
E02000373,280.0,75.0,26.785714285714285
E02000374,156.0,48.0,30.76923076923077
E02000375,150.0,39.0,26.0
E02000376,156.0,46.0,29.48717948717949
E02000377,169.0,34.0,20.118343195266274
E02000378,99.0,19.0,19.19191919191919
E02000379,148.0,26.0,17.56756756756757
E02000380,107.0,22.0,20.5607476635514
E02000381,94.0,21.0,22.340425531914892
E02000382,130.0,21.0,16.153846153846153
E02000383,112.0,35.0,31.25
E02000384,185.0,41.0,22.162162162162165
E02000385,54.0,10.0,18.51851851851852
E02000386,207.0,54.0,26.08695652173913
E02000387,129.0,29.0,22.48062015503876
E02000388,89.0,17.0,19.101123595505616
E02000389,90.0,13.0,14.444444444444443
E02000390,95.0,21.0,22.105263157894736
E02000391,66.0,17.0,25.757575757575758
E02000392,140.0,36.0,25.71428571428571
E02000394,151.0,42.0,27.81456953642384
E02000396,126.0,33.0,26.190476190476193
E02000397,171.0,37.0,21.637426900584796
E02000398,276.0,74.0,26.811594202898554
E02000400,239.0,50.0,20.920502092050206
E02000401,269.0,68.0,25.27881040892193
E02000402,284.0,81.0,28.52112676056338
E02000403,124.0,28.0,22.58064516129032
E02000404,225.0,54.0,24.0
E02000405,193.0,19.0,9.844559585492227
E02000406,175.0,61.0,34.85714285714286
E02000407,242.0,69.0,28.512396694214875
E02000408,296.0,83.0,28.040540540540544
E02000409,223.0,66.0,29.596412556053814
E02000410,196.0,14.0,7.142857142857142
E02000411,311.0,92.0,29.581993569131832
E02000412,151.0,41.0,27.1523178807947
E02000413,304.0,32.0,10.526315789473683
E02000414,212.0,51.0,24.056603773584907
E02000415,157.0,35.0,22.29299363057325
E02000416,208.0,40.0,19.230769230769234
E02000417,130.0,11.0,8.461538461538462
E02000418,139.0,19.0,13.66906474820144
E02000419,136.0,27.0,19.852941176470587
E02000420,179.0,56.0,31.28491620111732
E02000421,214.0,56.0,26.168224299065418
E02000422,239.0,67.0,28.03347280334728
E02000423,98.0,26.0,26.53061224489796
E02000424,170.0,20.0,11.76470588235294
E02000425,131.0,31.0,23.66412213740458
E02000426,97.0,14.0,14.432989690721648
E02000427,141.0,42.0,29.78723404255319
E02000428,223.0,74.0,33.18385650224215
E02000429,100.0,8.0,8.0
E02000430,128.0,17.0,13.28125
E02000431,69.0,9.0,13.043478260869565
E02000432,128.0,31.0,24.21875
E02006794,288.0,98.0,34.02777777777778
E02000433,117.0,16.0,13.675213675213676
E02000434,197.0,41.0,20.812182741116754
E02000435,197.0,35.0,17.766497461928935
E02000436,113.0,24.0,21.238938053097346
E02000437,225.0,41.0,18.22222222222222
E02000438,204.0,50.0,24.509803921568626
E02000439,210.0,47.0,22.380952380952383
E02000440,295.0,50.0,16.94915254237288
E02000441,150.0,21.0,14.000000000000002
E02000442,274.0,63.0,22.99270072992701
E02000443,304.0,70.0,23.026315789473685
E02000444,259.0,48.0,18.53281853281853
E02000445,316.0,84.0,26.582278481012654
E02000447,175.0,34.0,19.428571428571427
E02000448,144.0,22.0,15.277777777777779
E02000449,265.0,60.0,22.641509433962266
E02000451,169.0,26.0,15.384615384615385
E02000452,207.0,36.0,17.391304347826086
E02000453,190.0,39.0,20.526315789473685
E02000454,180.0,24.0,13.333333333333334
E02000455,134.0,31.0,23.134328358208954
E02000456,179.0,37.0,20.670391061452513
E02000457,175.0,33.0,18.857142857142858
E02000459,239.0,66.0,27.615062761506277
E02000460,240.0,49.0,20.416666666666668
E02000461,94.0,21.0,22.340425531914892
E02000462,203.0,50.0,24.63054187192118
E02000463,296.0,57.0,19.256756756756758
E02006795,279.0,51.0,18.27956989247312
E02006882,360.0,78.0,21.666666666666668
E02000464,242.0,57.0,23.553719008264462
E02000465,261.0,53.0,20.306513409961685
E02000466,269.0,59.0,21.933085501858738
E02000467,405.0,96.0,23.703703703703706
E02000468,265.0,61.0,23.0188679245283
E02000469,196.0,43.0,21.93877551020408
E02000470,194.0,31.0,15.979381443298967
E02000471,211.0,26.0,12.322274881516588
E02000472,261.0,45.0,17.24137931034483
E02000473,284.0,59.0,20.774647887323944
E02000474,241.0,52.0,21.57676348547718
E02000475,212.0,47.0,22.169811320754718
E02000476,189.0,39.0,20.634920634920633
E02000477,288.0,48.0,16.666666666666664
E02000478,114.0,20.0,17.543859649122805
E02000479,225.0,53.0,23.555555555555554
