MSOA,percent_age_10_11
E02000381,2.216393442622951
E02000382,1.9233877485049296
E02000383,1.643608844743999
E02000384,1.5982564475118053
E02000385,1.121595157557415
E02000386,2.0044837135698272
E02000387,1.874896299983408
E02000388,1.6067506646630445
E02000389,2.210648148148148
E02000390,1.7900338655055636
E02000391,2.3307874637872006
E02000392,2.297355873428695
E02000393,1.8251841929002008
E02000394,1.8536480224162086
E02000395,1.7098536929314296
E02000396,2.7979124383879386
E02000397,2.4402579339992414
E02000398,2.648389672611126
E02000400,2.778473091364205
E02000401,2.4752475247524752
E02000402,2.610441767068273
E02000403,2.0741922616673314
E02000404,2.319696330662168
E02000405,3.6734063898749807
E02000406,1.858736059479554
E02000407,2.300512685684238
E02000408,2.802037845705968
E02000409,2.027027027027027
E02000410,2.5684931506849313
E02000411,2.3107221006564553
E02000412,1.7083504168375019
E02000413,3.333762388981851
E02000414,2.034185619437774
E02000415,1.7267578394805911
E02000416,1.9775014801657786
E02000417,2.534738127958467
E02000418,2.4889380530973453
E02000419,1.797161172161172
E02000420,1.6032064128256511
E02000421,2.3269479374779642
E02000422,2.4886272411024883
E02000423,1.8963520555877245
E02000424,2.1781004593273074
E02000425,4.872077365650631
E02000426,2.3277323878526284
E02000427,1.299093655589124
E02000428,2.287814129919393
E02000429,2.2667059169855754
E02000430,1.8783412801618264
E02000431,1.3351591920575145
E02000432,1.4390842191332789
E02000433,2.185538246919321
E02000434,2.2436548223350252
E02000435,3.063590870255096
E02000436,2.013888888888889
E02000437,2.6006615718033537
E02000438,2.492102492102492
E02000439,2.645217015763334
E02000440,2.725759467332501
E02000441,2.525050100200401
E02000442,2.200438001877151
E02000443,2.865916069600819
E02000444,2.8335436503384193
E02000445,2.733446519524618
E02000447,2.904564315352697
E02000448,2.7722772277227725
E02000449,2.397879262561754
E02000451,2.664880154831026
E02000452,2.338072669826224
E02000453,1.9923645907897876
E02000454,3.3101757253780137
E02000455,1.8699605421170014
E02000456,2.4293568597366066
E02000457,2.310745676212078
E02000459,2.87183883411916
E02000460,2.750786916655262
E02000461,2.068776544732155
