MSOA,higher_education_percent
E02000358,58.07549175970229
E02000359,55.196733481811435
E02000360,46.262341325811
E02000361,58.81239994178431
E02000362,48.25451418744626
E02000363,42.18340611353712
E02000364,59.33204881181759
E02000366,48.16219369894982
E02000367,62.04067872794696
E02000368,47.93449034465901
E02000369,56.93210095982937
E02000370,54.460093896713616
E02000372,46.18728704030079
E02000373,35.66459172464299
E02000374,49.964450764308566
E02000375,53.75337248055864
E02000376,54.84479506088149
E02000377,53.06897599513826
E02000378,60.025085110195306
E02000379,60.17091152815014
E02000380,62.04858831254104
E02000381,63.5297845373891
E02000382,63.16289678768295
E02000383,60.36658254748306
E02000384,52.89418360196216
E02000385,66.44440086291429
E02000386,47.4166020170675
E02000387,52.2430981595092
E02000388,60.9405875378738
E02000389,62.31884057971014
E02000390,58.92249527410208
E02000391,63.86447179159342
E02000392,62.63650546021841
E02000393,68.25110308864821
E02000394,61.111111111111114
E02000395,68.129614438064
E02000396,56.96549205769582
E02000397,44.80966213117261
E02000398,29.333333333333332
E02000400,48.536815607300184
E02000401,31.936519258202566
E02000402,31.51001540832049
E02000403,45.15921518173046
E02000404,34.85849855956617
E02000405,66.2786029706945
E02000406,38.23785477973185
E02000407,34.219053791315616
E02000408,33.878937615812234
E02000409,39.08619313647247
E02000410,65.31947652040031
E02000411,41.88453740262512
E02000412,41.18673647469459
E02000413,62.764900662251655
E02000414,41.9917864476386
E02000415,46.58866183256427
E02000416,56.42907551164432
E02000417,67.94706855357471
E02000418,68.12865497076024
E02000419,53.18114277995407
E02000420,43.850821370430666
